name,memory,store,N,M,R,subgroups,smem,bin
segsort_hybmerge_sg16_smem16k_n1024_m128_striped,hybmerge,striped,1024,128,16,16,16,10
segsort_hybmerge_sg16_smem16k_n1024_m256_striped,hybmerge,striped,1024,256,16,16,16,10
segsort_hybmerge_sg16_smem16k_n1024_m32_striped,hybmerge,striped,1024,32,16,16,16,10
segsort_hybmerge_sg16_smem16k_n1024_m64_striped,hybmerge,striped,1024,64,16,16,16,10
segsort_hybmerge_sg16_smem16k_n128_m32_striped,hybmerge,striped,128,32,16,16,16,7
segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,128,64,16,16,16,7
segsort_hybmerge_sg16_smem16k_n2048_m128_striped,hybmerge,striped,2048,128,16,16,16,11
segsort_hybmerge_sg16_smem16k_n2048_m256_striped,hybmerge,striped,2048,256,16,16,16,11
segsort_hybmerge_sg16_smem16k_n2048_m64_striped,hybmerge,striped,2048,64,16,16,16,11
segsort_hybmerge_sg16_smem16k_n256_m128_striped,hybmerge,striped,256,128,16,16,16,8
segsort_hybmerge_sg16_smem16k_n256_m32_striped,hybmerge,striped,256,32,16,16,16,8
segsort_hybmerge_sg16_smem16k_n256_m64_striped,hybmerge,striped,256,64,16,16,16,8
segsort_hybmerge_sg16_smem16k_n512_m128_striped,hybmerge,striped,512,128,16,16,16,9
segsort_hybmerge_sg16_smem16k_n512_m256_striped,hybmerge,striped,512,256,16,16,16,9
segsort_hybmerge_sg16_smem16k_n512_m32_striped,hybmerge,striped,512,32,16,16,16,9
segsort_hybmerge_sg16_smem16k_n512_m64_striped,hybmerge,striped,512,64,16,16,16,9
segsort_hybmerge_sg16_smem16k_n64_m32_striped,hybmerge,striped,64,32,16,16,16,6
segsort_hybmerge_sg32_smem16k_n1024_m128_striped,hybmerge,striped,1024,128,32,32,16,10
segsort_hybmerge_sg32_smem16k_n1024_m256_striped,hybmerge,striped,1024,256,32,32,16,10
segsort_hybmerge_sg32_smem16k_n1024_m64_striped,hybmerge,striped,1024,64,32,32,16,10
segsort_hybmerge_sg32_smem16k_n128_m64_striped,hybmerge,striped,128,64,32,32,16,7
segsort_hybmerge_sg32_smem16k_n2048_m128_striped,hybmerge,striped,2048,128,32,32,16,11
