name,family,store,N,M,R,subgroups,smem,bin
segsort_cute_sg32_n8_m8_block,cute,block,8,8,32,32,16,3
segsort_cute_sg32_n8_m8_striped,cute,striped,8,8,32,32,16,3
segsort_cute_sg32_n16_m16_block,cute,block,16,16,32,32,16,4
segsort_cute_sg32_n16_m16_striped,cute,striped,16,16,32,32,16,4
segsort_cute_sg32_n32_m32_block,cute,block,32,32,32,32,16,5
segsort_cute_sg32_n32_m32_striped,cute,striped,32,32,32,32,16,5
segsort_rank_sg32_n8_m8_block,rank,block,8,8,32,32,16,3
segsort_rank_sg32_n8_m8_striped,rank,striped,8,8,32,32,16,3
segsort_rank_sg32_n16_m16_block,rank,block,16,16,32,32,16,4
segsort_rank_sg32_n16_m16_striped,rank,striped,16,16,32,32,16,4
segsort_rank_sg32_n32_m32_block,rank,block,32,32,32,32,16,5
segsort_rank_sg32_n32_m32_striped,rank,striped,32,32,32,32,16,5
segsort_cuteseg_sg32_n8_m8_block,cuteseg,block,8,8,32,32,16,2..3
segsort_cuteseg_sg32_n8_m8_striped,cuteseg,striped,8,8,32,32,16,2..3
segsort_cuteseg_sg32_n16_m16_block,cuteseg,block,16,16,32,32,16,2..4
segsort_cuteseg_sg32_n16_m16_striped,cuteseg,striped,16,16,32,32,16,2..4
segsort_cuteseg_sg32_n32_m32_block,cuteseg,block,32,32,32,32,16,2..5
segsort_cuteseg_sg32_n32_m32_striped,cuteseg,striped,32,32,32,32,16,2..5
segsort_rankseg_sg32_n8_m8_block,rankseg,block,8,8,32,32,16,2..3
segsort_rankseg_sg32_n8_m8_striped,rankseg,striped,8,8,32,32,16,2..3
segsort_rankseg_sg32_n16_m16_block,rankseg,block,16,16,32,32,16,2..4
segsort_rankseg_sg32_n16_m16_striped,rankseg,striped,16,16,32,32,16,2..4
segsort_rankseg_sg32_n32_m32_block,rankseg,block,32,32,32,32,16,2..5
segsort_rankseg_sg32_n32_m32_striped,rankseg,striped,32,32,32,32,16,2..5
