label	sampler	memory	budget	sort_iterations
gpu_subgroups	bin(1)	register	1000	512
gpu_smem	bin(1)	workgroup	1000	1024
gpu_subgroups	bin(2)	register	1000	512
gpu_smem	bin(2)	workgroup	1000	512
gpu_subgroups	bin(3)	register	1000	512
gpu_smem	bin(3)	workgroup	1000	512
gpu_subgroups	bin(4)	register	1000	512
gpu_smem	bin(4)	workgroup	1000	512
gpu_subgroups	bin(5)	register	1000	512
gpu_smem	bin(5)	workgroup	1000	512
gpu_subgroups	bin(6)	register	1000	512
gpu_smem	bin(6)	workgroup	1000	512
gpu_subgroups	bin(7)	register	1000	512
gpu_smem	bin(7)	workgroup	1000	512
gpu_subgroups	bin(8)	register	1000	512
gpu_smem	bin(8)	workgroup	1000	256
gpu_subgroups	bin(9)	register	1000	256
gpu_smem	bin(9)	workgroup	1000	256
gpu_subgroups	bin(10)	register	1000	128
gpu_smem	bin(10)	workgroup	1000	256
gpu_subgroups	bin(11)	register	1000	128
gpu_smem	bin(11)	workgroup	1000	256
gpu_subgroups	bin(1)	register	10000	512
gpu_smem	bin(1)	workgroup	10000	512
gpu_subgroups	bin(2)	register	10000	512
gpu_smem	bin(2)	workgroup	10000	1024
gpu_subgroups	bin(3)	register	10000	512
gpu_smem	bin(3)	workgroup	10000	512
gpu_subgroups	bin(4)	register	10000	512
gpu_smem	bin(4)	workgroup	10000	512
gpu_subgroups	bin(5)	register	10000	512
gpu_smem	bin(5)	workgroup	10000	512
gpu_subgroups	bin(6)	register	10000	512
gpu_smem	bin(6)	workgroup	10000	512
gpu_subgroups	bin(7)	register	10000	512
gpu_smem	bin(7)	workgroup	10000	512
gpu_subgroups	bin(8)	register	10000	256
gpu_smem	bin(8)	workgroup	10000	256
gpu_subgroups	bin(9)	register	10000	256
gpu_smem	bin(9)	workgroup	10000	256
gpu_subgroups	bin(10)	register	10000	128
gpu_smem	bin(10)	workgroup	10000	256
gpu_subgroups	bin(11)	register	10000	16
gpu_smem	bin(11)	workgroup	10000	256
gpu_subgroups	bin(1)	register	100000	512
gpu_smem	bin(1)	workgroup	100000	1024
gpu_subgroups	bin(2)	register	100000	256
gpu_smem	bin(2)	workgroup	100000	512
gpu_subgroups	bin(3)	register	100000	512
gpu_smem	bin(3)	workgroup	100000	256
gpu_subgroups	bin(4)	register	100000	512
gpu_smem	bin(4)	workgroup	100000	512
gpu_subgroups	bin(5)	register	100000	1024
gpu_smem	bin(5)	workgroup	100000	512
gpu_subgroups	bin(6)	register	100000	512
gpu_smem	bin(6)	workgroup	100000	256
gpu_subgroups	bin(7)	register	100000	256
gpu_smem	bin(7)	workgroup	100000	256
gpu_subgroups	bin(8)	register	100000	256
gpu_smem	bin(8)	workgroup	100000	256
gpu_subgroups	bin(9)	register	100000	256
gpu_smem	bin(9)	workgroup	100000	128
gpu_subgroups	bin(10)	register	100000	128
gpu_smem	bin(10)	workgroup	100000	128
gpu_subgroups	bin(11)	register	100000	16
gpu_smem	bin(11)	workgroup	100000	128
gpu_subgroups	bin(1)	register	1000000	1024
gpu_smem	bin(1)	workgroup	1000000	1024
gpu_subgroups	bin(2)	register	1000000	512
gpu_smem	bin(2)	workgroup	1000000	256
gpu_subgroups	bin(3)	register	1000000	512
gpu_smem	bin(3)	workgroup	1000000	256
gpu_subgroups	bin(4)	register	1000000	256
gpu_smem	bin(4)	workgroup	1000000	256
gpu_subgroups	bin(5)	register	1000000	128
gpu_smem	bin(5)	workgroup	1000000	256
gpu_subgroups	bin(6)	register	1000000	128
gpu_smem	bin(6)	workgroup	1000000	64
gpu_subgroups	bin(7)	register	1000000	128
gpu_smem	bin(7)	workgroup	1000000	64
gpu_subgroups	bin(8)	register	1000000	128
gpu_smem	bin(8)	workgroup	1000000	64
gpu_subgroups	bin(9)	register	1000000	64
gpu_smem	bin(9)	workgroup	1000000	64
gpu_subgroups	bin(10)	register	1000000	64
gpu_smem	bin(10)	workgroup	1000000	64
gpu_subgroups	bin(11)	register	1000000	8
gpu_smem	bin(11)	workgroup	1000000	32
gpu_subgroups	bin(1)	register	10000000	1024
gpu_smem	bin(1)	workgroup	10000000	512
gpu_subgroups	bin(2)	register	10000000	64
gpu_smem	bin(2)	workgroup	10000000	32
gpu_subgroups	bin(3)	register	10000000	64
gpu_smem	bin(3)	workgroup	10000000	32
gpu_subgroups	bin(4)	register	10000000	32
gpu_smem	bin(4)	workgroup	10000000	32
gpu_subgroups	bin(5)	register	10000000	64
gpu_smem	bin(5)	workgroup	10000000	32
gpu_subgroups	bin(6)	register	10000000	64
gpu_smem	bin(6)	workgroup	10000000	16
gpu_subgroups	bin(7)	register	10000000	32
gpu_smem	bin(7)	workgroup	10000000	16
gpu_subgroups	bin(8)	register	10000000	16
gpu_smem	bin(8)	workgroup	10000000	16
gpu_subgroups	bin(9)	register	10000000	8
gpu_smem	bin(9)	workgroup	10000000	4
gpu_subgroups	bin(10)	register	10000000	8
gpu_smem	bin(10)	workgroup	10000000	4
gpu_subgroups	bin(11)	register	10000000	1
gpu_smem	bin(11)	workgroup	10000000	2
