bin,N,method,n_keys,throughput_mkeys_s
2,2,smem,12400000,47302.24609375
2,2,smem,102400000,142045.45454545456
2,2,smem,268435456,157538.46153846153
2,2,subgroups,12400000,47302.24609375
2,2,subgroups,102400000,142045.45454545456
2,2,subgroups,268435456,157538.46153846153
3,4,smem,12400000,17200.816761363636
3,4,smem,102400000,14076.576576576575
3,4,smem,268435456,15937.74319066148
3,4,subgroups,12400000,21023.22048611111
3,4,subgroups,102400000,25201.612903225807
3,4,subgroups,268435456,29049.64539007092
4,8,smem,12400000,12613.932291666668
4,8,smem,102400000,12303.149606299212
4,8,smem,268435456,13044.585987261147
4,8,subgroups,12400000,11129.940257352942
4,8,subgroups,102400000,42229.72972972973
4,8,subgroups,268435456,49951.21951219512
5,16,smem,12400000,11825.5615234375
5,16,smem,102400000,12303.149606299212
5,16,smem,268435456,8274.747474747475
5,16,subgroups,12400000,23651.123046875
5,16,subgroups,102400000,39062.5
5,16,subgroups,268435456,53194.805194805194
6,32,smem,12400000,15767.415364583334
6,32,smem,102400000,12862.042682926829
6,32,smem,268435456,12118.343195266274
6,32,subgroups,12400000,23651.123046875
6,32,subgroups,102400000,19911.728896103894
6,32,subgroups,268435456,38641.50943396227
7,64,smem,12400000,12613.932291666668
7,64,smem,102400000,8608.880760123855
7,64,smem,268435456,9649.012208657048
7,64,subgroups,12400000,17344.156901041668
7,64,subgroups,102400000,11930.261700763536
7,64,subgroups,268435456,24975.60975609756
8,128,smem,12400000,8226.477581521738
8,128,smem,102400000,7134.703196347033
8,128,smem,268435456,5610.958904109589
8,128,subgroups,12400000,11825.5615234375
8,128,subgroups,102400000,8245.43998886104
8,128,subgroups,268435456,17504.273504273504
9,256,smem,12400000,6103.515625
9,256,smem,102400000,6163.732065606424
9,256,smem,268435456,4253.379456698958
9,256,subgroups,12400000,11871.936274509804
9,256,subgroups,102400000,6403.796086335769
9,256,subgroups,268435456,11147.249622322935
10,512,smem,12400000,4614.853277439024
10,512,smem,102400000,4852.484472049689
10,512,smem,268435456,3142.3207263113663
10,512,subgroups,12400000,7422.814002403846
10,512,subgroups,102400000,6188.1430767300335
10,512,subgroups,268435456,5063.0717351411895
11,1024,smem,12400000,2522.7864583333335
11,1024,smem,102400000,2586.920529801325
11,1024,smem,268435456,1683.8644082462629
11,1024,subgroups,12400000,4025.7230718085107
11,1024,subgroups,102400000,4438.920454545455
11,1024,subgroups,268435456,2189.204259792495
12,2048,smem,12400000,2012.8615359042553
12,2048,smem,102400000,2055.9210526315787
12,2048,smem,268435456,1351.5924776413754
12,2048,subgroups,12400000,3262.2238685344823
12,2048,subgroups,102400000,3487.723214285714
12,2048,subgroups,268435456,3334.1478864467017
