label	sampler	memory	budget	sort_iterations
gpu_subgroups	bin(1)	register	268435456	1024
gpu_smem	bin(1)	workgroup	268435456	1024
gpu_subgroups	bin(2)	register	268435456	4
gpu_smem	bin(2)	workgroup	268435456	2
gpu_subgroups	bin(3)	register	268435456	4
gpu_smem	bin(3)	workgroup	268435456	1
gpu_subgroups	bin(4)	register	268435456	2
gpu_smem	bin(4)	workgroup	268435456	1
gpu_subgroups	bin(5)	register	268435456	2
gpu_smem	bin(5)	workgroup	268435456	1
gpu_subgroups	bin(6)	register	268435456	1
gpu_smem	bin(6)	workgroup	268435456	1
gpu_subgroups	bin(7)	register	268435456	1
gpu_smem	bin(7)	workgroup	268435456	1
gpu_subgroups	bin(8)	register	268435456	1
gpu_smem	bin(8)	workgroup	268435456	1
gpu_subgroups	bin(9)	register	268435456	1
gpu_smem	bin(9)	workgroup	268435456	1
gpu_subgroups	bin(10)	register	268435456	1
gpu_smem	bin(10)	workgroup	268435456	1
gpu_subgroups	bin(11)	register	268435456	1
gpu_smem	bin(11)	workgroup	268435456	1
