root,memory,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,0,1647000,458752,636.564056
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,1,907000,393216,1155.921720
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,2,898000,458752,1167.506682
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,3,883000,458752,1187.339751
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,4,892000,393216,1175.359865
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,5,872000,458752,1202.317661
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,6,875000,458752,1198.195429
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,7,878000,458752,1194.101367
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,8,882000,458752,1188.685941
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,9,886000,458752,1183.319413
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,10,988000,458752,1061.154858
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,11,860000,393216,1219.094186
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,12,855000,393216,1226.223392
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,13,890000,458752,1178.001124
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,14,865000,458752,1212.047399
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,15,878000,458752,1194.101367
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,16,870000,458752,1205.081609
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,17,875000,458752,1198.195429
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,18,878000,458752,1194.101367
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,19,892000,458752,1175.359865
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,20,886000,458752,1183.319413
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,21,986000,458752,1063.307302
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,22,569000,131072,1842.567663
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,23,518000,131072,2023.978764
output/kernels/hybmerge_n256_m128_block,hybmerge,block,1,50,256,128,2,32,32,16384,8,1048576,256,16384,256,uniform,128,5455,1048421,24,545000,131072,1923.708257
