root,memory,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,0,1568000,393216,668.635842
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,1,847000,393216,1237.805195
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,2,849000,393216,1234.889282
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,3,859000,393216,1220.513388
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,4,838000,458752,1251.099045
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,5,851000,393216,1231.987074
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,6,842000,393216,1245.155582
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,7,842000,393216,1245.155582
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,8,859000,393216,1220.513388
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,9,889000,393216,1179.326209
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,10,850000,458752,1233.436471
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,11,894000,393216,1172.730425
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,12,535000,131072,1959.665421
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,13,517000,196608,2027.893617
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,14,518000,131072,2023.978764
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,15,520000,131072,2016.194231
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,16,519000,196608,2020.078998
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,17,533000,131072,1967.018762
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,18,520000,131072,2016.194231
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,19,513000,131072,2043.705653
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,20,470000,131072,2230.682979
output/kernels/hybrid_n256_m64_block,hybrid,block,1,50,256,64,4,32,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,21,475000,131072,2207.202105
