root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,0,7326000,6881280,13977.613978
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,1,7280000,6815744,14065.934066
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,2,7270000,6881280,14085.281981
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,3,7242000,6815744,14139.740403
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,4,7146000,6815744,14329.694934
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,5,7292000,6881280,14042.786615
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,6,7186000,6750208,14249.930420
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,7,7279000,6881280,14067.866465
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,8,7312000,6815744,14004.376368
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,9,7183000,6815744,14255.881943
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,10,7313000,6815744,14002.461370
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,11,7193000,6815744,14236.062839
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,12,7365000,6881280,13903.598099
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,13,7156000,6815744,14309.670207
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,14,7182000,6750208,14257.866889
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,15,7257000,6815744,14110.513986
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,16,7193000,6815744,14236.062839
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,17,7325000,6946816,13979.522184
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,18,7171000,6815744,14279.737833
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,19,7194000,6750208,14234.083959
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,20,7292000,6815744,14042.786615
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,21,7233000,6750208,14157.334439
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,22,7387000,6946816,13862.190334
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,23,7211000,6750208,14200.526973
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,24,7331000,6815744,13968.080753
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,25,7287000,6815744,14052.422122
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,26,7202000,6815744,14218.272702
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,27,7355000,6881280,13922.501700
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,28,7162000,6815744,14297.682212
output/kernels/keys_102400000/segsort_hybrid_sg16_n64_m32_striped,hybrid,striped,1,50,64,32,2,16,16,16384,6,102400000,256,16384,256,const(1.0),256,1600000,102400000,29,7321000,6750208,13987.160224
