root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,0,66912000,66453504,1530.368245
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,1,66937000,66453504,1529.796674
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,2,66935000,66453504,1529.842384
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,3,66941000,66453504,1529.705263
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,4,66903000,66519040,1530.574115
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,5,66900000,66453504,1530.642750
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,6,66949000,66453504,1529.522472
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,7,66900000,66453504,1530.642750
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,8,66934000,66453504,1529.865240
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,9,66893000,66453504,1530.802924
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,10,66967000,66453504,1529.111353
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,11,66919000,66453504,1530.208162
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,12,66965000,66453504,1529.157022
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,13,66951000,66453504,1529.476782
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,14,67049000,66584576,1527.241271
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,15,66992000,66453504,1528.540721
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,16,67085000,66584576,1526.421704
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,17,66924000,66453504,1530.093838
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,18,66895000,66453504,1530.757157
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,19,67123000,66650112,1525.557559
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,20,66899000,66453504,1530.665630
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,21,66960000,66519040,1529.271207
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,22,66916000,66453504,1530.276765
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,23,66949000,66453504,1529.522472
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,24,66909000,66387968,1530.436862
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,25,66934000,66453504,1529.865240
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,26,66884000,66453504,1531.008911
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,27,66881000,66453504,1531.077586
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,28,66950000,66453504,1529.499627
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,29,66903000,66453504,1530.574115
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,30,67053000,66584576,1527.150165
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,31,66941000,66519040,1529.705263
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,32,67069000,66584576,1526.785847
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,33,66923000,66453504,1530.116701
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,34,66947000,66453504,1529.568166
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,35,66915000,66453504,1530.299634
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,36,66913000,66453504,1530.345374
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,37,66873000,66453504,1531.260748
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,38,67164000,66715648,1524.626288
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,39,66914000,66453504,1530.322504
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,40,66942000,66453504,1529.682412
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,41,66934000,66453504,1529.865240
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,42,66936000,66453504,1529.819529
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,43,66942000,66453504,1529.682412
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,44,66948000,66453504,1529.545319
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,45,66953000,66453504,1529.431093
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,46,66900000,66453504,1530.642750
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,47,67113000,66584576,1525.784870
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,48,67205000,66584576,1523.696154
output/kernels/keys_102400000/segsort_wg_n2048_m256_striped,smem,striped,1,50,2048,256,8,32,32,16384,11,102400000,256,16384,256,const(1.0),256,50000,102400000,49,67116000,66650112,1525.716670
