root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,0,19226000,18874368,5326.120878
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,1,19562000,19202048,5234.638585
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,2,17116000,16711680,5982.706240
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,3,19589000,19202048,5227.423554
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,4,19134000,18743296,5351.729905
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,5,19351000,18939904,5291.716190
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,6,19356000,19005440,5290.349246
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,7,19221000,18808832,5327.506373
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,8,19581000,19136512,5229.559267
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,9,19442000,19136512,5266.947845
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,10,19399000,19070976,5278.622609
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,11,19596000,19136512,5225.556236
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,12,19536000,19202048,5241.605242
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,13,19470000,19136512,5259.373395
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,14,18130000,17760256,5648.097077
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,15,19486000,19070976,5255.054911
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,16,18842000,18481152,5434.667233
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,17,19531000,19136512,5242.947110
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,18,19484000,19136512,5255.594334
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,19,19518000,19136512,5246.439184
output/kernels/keys_102400000/segsort_wg_n32_m1_block,smem,block,1,50,32,1,32,32,32,16384,5,102400000,256,16384,256,const(1.0),64,3200000,102400000,20,19460000,19070976,5262.076053
