root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,0,1797000,1376256,6900.389538
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,1,1760000,1376256,7045.454545
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,2,1723000,1376256,7196.749855
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,3,1720000,1376256,7209.302326
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,4,1726000,1376256,7184.241020
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,5,1740000,1376256,7126.436782
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,6,1756000,1376256,7061.503417
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,7,1741000,1376256,7122.343481
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,8,1727000,1376256,7180.081065
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,9,1736000,1376256,7142.857143
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,10,1768000,1376256,7013.574661
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,11,1744000,1376256,7110.091743
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,12,1727000,1376256,7180.081065
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,13,1749000,1376256,7089.765580
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,14,1774000,1376256,6989.853439
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,15,1747000,1376256,7097.882084
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,16,1744000,1376256,7110.091743
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,17,1749000,1376256,7089.765580
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,18,1735000,1376256,7146.974063
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,19,1739000,1376256,7130.534790
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,20,1751000,1376256,7081.667619
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,21,1731000,1376256,7163.489313
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,22,1728000,1376256,7175.925926
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,23,1782000,1376256,6958.473625
output/kernels/keys_12400000/segsort_hybmerge_sg16_smem16k_n128_m64_block,hybmerge,block,1,50,128,64,2,16,16,16384,7,12400000,256,16384,256,const(1.0),64,96875,12400000,24,1739000,1376256,7130.534790
