root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,0,4082000,3670016,3037.632533
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,1,4051000,3670016,3060.877808
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,2,4257000,3866624,2912.759220
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,3,4233000,3670016,2929.273801
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,4,4107000,3735552,3019.141953
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,5,4284000,3932160,2894.401494
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,6,4336000,3932160,2859.690037
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,7,4370000,3866624,2837.440732
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,8,5217000,4653056,2376.771325
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,9,4754000,4325376,2608.249053
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,10,4746000,4325376,2612.645596
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,11,6213000,5832704,1995.753420
output/kernels/keys_12400000/segsort_hybrid_sg16_n512_m32_block_smem32k,hybrid,block,1,50,512,32,16,16,16,32768,9,12400000,256,32768,256,const(1.0),256,24218,12399616,12,5339000,4980736,2322.460386
