root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,0,1296000,917504,9567.901235
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,1,1292000,983040,9597.523220
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,2,1289000,917504,9619.860357
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,3,1280000,917504,9687.500000
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,4,1414000,917504,8769.448373
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,5,1286000,917504,9642.301711
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,6,1293000,917504,9590.100541
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,7,1289000,917504,9619.860357
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,8,1275000,917504,9725.490196
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,9,1288000,917504,9627.329193
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,10,1278000,917504,9702.660407
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,11,1249000,917504,9927.942354
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,12,1278000,917504,9702.660407
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,13,1293000,917504,9590.100541
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,14,1291000,917504,9604.957397
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,15,1296000,917504,9567.901235
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,16,1282000,917504,9672.386895
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,17,1289000,917504,9619.860357
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,18,1303000,983040,9516.500384
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,19,1288000,917504,9627.329193
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,20,1281000,917504,9679.937549
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,21,1426000,917504,8695.652174
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,22,1276000,983040,9717.868339
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,23,1301000,917504,9531.129900
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,24,1298000,917504,9553.158706
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,25,1293000,917504,9590.100541
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,26,1311000,917504,9458.428680
output/kernels/keys_12400000/segsort_hybrid_sg8_n128_m32_block,hybrid,block,1,50,128,32,4,8,8,16384,7,12400000,256,16384,256,const(1.0),256,96875,12400000,27,1293000,917504,9590.100541
