root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,0,3419000,2490368,3626.679146
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,1,2998000,2555904,4135.962642
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,2,2872000,2490368,4317.415042
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,3,2849000,2424832,4352.269568
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,4,3471000,2490368,3572.346874
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,5,3240000,2752512,3827.041975
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,6,3107000,2621440,3990.864500
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,7,3084000,2686976,4020.627756
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,8,3130000,2686976,3961.538658
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,9,3767000,3342336,3291.642156
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,10,3383000,2949120,3665.272244
output/kernels/keys_12400000/segsort_reg_n512_m16_striped,reg,striped,1,50,512,16,32,32,32,16384,9,12400000,256,16384,256,const(1.0),256,24218,12399616,11,3404000,2949120,3642.660400
