root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,0,21177000,20709376,12675.801861
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,1,21194000,20774912,12665.634425
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,2,20924000,20447232,12829.069776
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,3,21031000,20512768,12763.798963
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,4,22056000,20643840,12170.631846
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,5,21799000,20709376,12314.117895
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,6,21195000,20774912,12665.036848
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,7,21624000,20709376,12413.774325
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,8,21208000,20709376,12657.273482
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,9,21217000,20774912,12651.904416
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,10,21192000,20709376,12666.829747
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,11,20932000,20512768,12824.166635
output/kernels/keys_268435456/segsort_cute_n2_m2_block,cute,block,1,50,2,2,1,32,32,16384,1,268435456,256,16384,256,const(1.0),32,134217728,268435456,12,21199000,20709376,12662.647106
