root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,0,25056000,24641536,10713.420179
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,1,25028000,24641536,10725.405786
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,2,25146000,24576000,10675.075797
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,3,25287000,24772608,10615.551706
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,4,25185000,24576000,10658.545007
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,5,25145000,24641536,10675.500338
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,6,25090000,24510464,10698.902192
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,7,25084000,24576000,10701.461330
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,8,25086000,24576000,10700.608148
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,9,25114000,24576000,10688.677869
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,10,25043000,24576000,10718.981592
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,11,25073000,24576000,10706.156264
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,12,25281000,24772608,10618.071121
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,13,25360000,24838144,10584.994322
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,14,26614000,24576000,10086.249944
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,15,25602000,24444928,10484.940864
output/kernels/keys_268435456/segsort_cute_n8_m8_striped,cute,striped,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),32,33554432,268435456,16,24961000,24379392,10754.194784
