root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,0,26513000,25296896,10124.673028
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,1,26817000,25296896,10009.898796
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,2,25921000,25493504,10355.906639
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,3,26001000,25493504,10324.043537
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,4,26189000,25690112,10249.931498
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,5,26025000,25559040,10314.522805
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,6,26023000,25624576,10315.315529
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,7,25981000,25493504,10331.990916
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,8,25945000,25493504,10346.327077
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,9,25880000,25493504,10372.312828
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,10,27011000,25296896,9938.005109
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,11,26672000,25296896,10064.316737
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,12,25741000,25296896,10428.322754
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,13,25701000,25296896,10444.552975
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,14,25680000,25296896,10453.094081
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,15,25686000,25231360,10450.652340
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,16,25699000,25296896,10445.365812
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,17,26283000,25231360,10213.273066
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,18,25961000,25427968,10339.950541
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,19,25973000,25493504,10335.173295
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,20,25963000,25493504,10339.154027
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem16k_n128_m64_block,cutemerge,block,1,50,128,64,2,32,32,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,21,26120000,25690112,10277.008270
