root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,0,141565000,141164544,1896.199315
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,1,141159000,140705792,1901.653143
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,2,140747000,140312576,1907.219735
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,3,141002000,140574720,1903.770556
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,4,140615000,140181504,1909.010106
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,5,141165000,140705792,1901.572316
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,6,140466000,139919360,1911.035097
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,7,141524000,141099008,1896.748650
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,8,141140000,140640256,1901.909140
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,9,140689000,140247040,1908.005999
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,10,141409000,140640256,1898.291170
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,11,143219000,142802944,1874.300589
output/kernels/keys_268435456/segsort_cutemerge_sg32_smem32k_n4096_m256_striped,cutemerge,striped,1,50,4096,256,16,32,32,32768,12,268435456,256,32768,256,const(1.0),256,65536,268435456,12,141030000,140509184,1903.392583
