root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,0,23039000,22675456,11651.350145
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,1,22961000,22609920,11690.930534
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,2,23040000,22544384,11650.844444
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,3,23043000,22675456,11649.327605
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,4,22987000,22609920,11677.707226
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,5,23011000,22544384,11665.527617
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,6,23014000,22609920,11664.006952
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,7,22984000,22544384,11679.231465
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,8,23021000,22609920,11660.460275
output/kernels/keys_268435456/segsort_hybmerge_sg16_smem16k_n128_m64_striped,hybmerge,striped,1,50,128,64,2,16,16,16384,7,268435456,256,16384,256,const(1.0),64,2097152,268435456,9,22980000,22609920,11681.264404
