root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,0,156031000,155516928,1720.398229
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,1,156009000,155451392,1720.640835
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,2,156070000,155582464,1719.968322
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,3,156176000,155648000,1718.800943
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,4,156038000,155451392,1720.321050
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,5,155995000,155516928,1720.795256
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,6,156182000,155648000,1718.734912
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,7,155930000,155516928,1721.512576
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,8,156135000,155582464,1719.252288
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,9,156422000,155910144,1716.097838
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,10,155996000,155451392,1720.784225
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,11,156031000,155516928,1720.398229
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,12,156047000,155451392,1720.221831
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,13,156179000,155516928,1718.767927
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,14,156142000,155582464,1719.175212
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,15,156049000,155451392,1720.199783
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,16,156035000,155516928,1720.354126
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,17,156128000,155648000,1719.329371
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,18,156005000,155516928,1720.684952
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,19,155946000,155516928,1721.335950
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,20,156176000,155648000,1718.800943
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,21,156006000,155451392,1720.673923
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,22,156141000,155582464,1719.186223
output/kernels/keys_268435456/segsort_hybrid_sg8_n512_m16_striped_smem32k,hybrid,striped,1,50,512,16,32,8,8,32768,9,268435456,256,32768,256,const(1.0),128,524288,268435456,23,156163000,155648000,1718.944026
