root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,0,10225000,9633792,26252.856333
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,1,9998000,9633792,26848.915383
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,2,10038000,9633792,26741.926280
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,3,9987000,9633792,26878.487634
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,4,10008000,9699328,26822.087930
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,5,10054000,9633792,26699.369007
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,6,10074000,9699328,26646.362517
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,7,10190000,9633792,26343.028067
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,8,10190000,9633792,26343.028067
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,9,10171000,9633792,26392.238325
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,10,10094000,9699328,26593.566079
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,11,10074000,9699328,26646.362517
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,12,10141000,9699328,26470.314170
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,13,10102000,9633792,26572.506038
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,14,10139000,9699328,26475.535654
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,15,10128000,9699328,26504.290679
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,16,10172000,9764864,26389.643728
output/kernels/keys_268435456/segsort_reg_n8_m8_block,reg,block,1,50,8,8,1,32,32,16384,3,268435456,256,16384,256,const(1.0),256,33554432,268435456,17,10124000,9699328,26514.762544
