root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,0,84748000,84279296,3167.454760
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,1,84793000,84344832,3165.773778
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,2,84845000,84410368,3163.833532
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,3,84661000,84213760,3170.709725
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,4,84769000,84213760,3166.670080
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,5,84882000,84148224,3162.454419
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,6,84761000,84213760,3166.968960
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,7,84625000,84082688,3172.058564
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,8,84710000,84148224,3168.875646
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,9,84946000,84213760,3160.071763
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,10,84816000,84148224,3164.915299
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,11,84855000,84213760,3163.460680
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,12,84991000,84279296,3158.398607
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,13,84787000,84213760,3165.997806
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,14,84882000,84148224,3162.454419
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,15,84824000,84213760,3164.616807
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,16,84955000,84279296,3159.736990
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,17,84616000,84148224,3172.395953
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,18,84872000,84410368,3162.827034
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,19,84813000,84148224,3165.027248
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,20,85094000,84475904,3154.575599
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,21,84847000,84213760,3163.758954
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,22,84630000,84148224,3171.871157
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,23,84891000,84279296,3162.119141
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,24,84863000,84279296,3163.162462
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,25,84723000,84213760,3168.389410
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,26,84877000,84279296,3162.640715
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,27,84867000,84213760,3163.013374
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,28,84748000,84148224,3167.454760
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,29,84774000,84279296,3166.483309
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,30,84806000,84148224,3165.288494
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,31,84938000,84148224,3160.369399
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,32,85081000,84475904,3155.057604
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,33,84879000,84148224,3162.566194
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,34,85095000,84410368,3154.538528
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,35,84821000,84213760,3164.728735
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,36,84794000,84213760,3165.736444
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,37,84767000,84213760,3166.744795
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,38,84636000,84213760,3171.646297
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,39,84609000,84148224,3172.658417
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,40,84941000,84344832,3160.257779
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,41,84841000,84213760,3163.982697
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,42,84837000,84213760,3164.131876
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,43,84779000,84344832,3166.296559
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,44,84863000,84279296,3163.162462
output/kernels/keys_268435456/segsort_wg_n64_m2_block_smem32k,smem,block,1,50,64,2,32,32,32,32768,6,268435456,256,32768,256,const(1.0),128,4194304,268435456,45,84742000,84148224,3167.679026
