root,family,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,0,86935000,86441984,3087.771968
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,1,87068000,86376448,3083.055267
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,2,87092000,86376448,3082.205668
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,3,87404000,86835200,3071.203332
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,4,87077000,86638592,3082.736612
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,5,86955000,86376448,3087.061768
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,6,87138000,86376448,3080.578577
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,7,87041000,86441984,3084.011627
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,8,86963000,86376448,3086.777779
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,9,87154000,86638592,3080.013034
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,10,86944000,86507520,3087.452337
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,11,86957000,86441984,3086.990766
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,12,87060000,86441984,3083.338571
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,13,87159000,86573056,3079.836345
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,14,87005000,86507520,3085.287696
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,15,87095000,86441984,3082.099501
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,16,87049000,86376448,3083.728199
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,17,87040000,86441984,3084.047059
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,18,87020000,86376448,3084.755872
output/kernels/keys_268435456/segsort_wg_n64_m4_striped_smem32k,smem,striped,1,50,64,4,16,32,32,32768,6,268435456,256,32768,256,const(1.0),256,4194304,268435456,19,87911000,87031808,3053.491099
