root,memory,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,0,3621000,655360,289.539078
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,1,1386000,589824,756.436508
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,2,1345000,589824,779.495167
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,3,1358000,589824,772.033137
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,4,1349000,589824,777.183840
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,5,1324000,524288,791.858761
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,6,1334000,589824,785.922789
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,7,2253000,1703936,465.344430
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,8,1056000,262144,992.822917
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,9,1036000,196608,1011.989382
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,10,1051000,196608,997.546147
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,11,1039000,262144,1009.067372
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,12,968000,196608,1083.079545
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,13,548000,196608,1913.177007
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,14,1023000,262144,1024.849462
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,15,1068000,196608,981.667603
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,16,1005000,196608,1043.204975
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,17,600000,196608,1747.368333
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,18,677000,196608,1548.627770
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,19,612000,196608,1713.106209
output/kernels/reg_n256_m32_block,reg,block,1,50,256,32,8,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,20,640000,196608,1638.157812
