root,memory,store,seed,runs,N,M,wpt,R,subgroups,smem_bytes,bin,n_keys,max_invocations,max_smem_size,target_wg_size,sampler,wg,segments,keys,run,wall_ns,gpu_ns,throughput_mkeys_s
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,0,2302000,589824,455.439183
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,1,1420000,589824,738.324648
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,2,1379000,655360,760.276287
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,3,1373000,589824,763.598689
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,4,1397000,589824,750.480315
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,5,1723000,589824,608.485781
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,6,1399000,589824,749.407434
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,7,1392000,655360,753.176006
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,8,1405000,589824,746.207117
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,9,1357000,655360,772.602063
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,10,1677000,655360,625.176506
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,11,1199000,655360,874.412844
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,12,1049000,196608,999.448046
output/kernels/smem_n256_m64_block,smem,block,1,50,256,64,4,0,32,16384,8,1048576,256,16384,256,uniform,256,5455,1048421,13,585000,196608,1792.172650
